,TeamNumber,Location/Category,Division,Tier,ScoredImages,PlayTimehh:mm:ss,**,CCSScore,Adjust,CiscoScore,TotalScore
1,15-1356,CA,Open,High School,3,01:41:58,,300,0.00,30.00,330.00
2,15-1885,CA,Open,High School,3,02:11:56,,300,0.00,30.00,330.00
3,15-1890,CA,Open,High School,3,02:40:59,,300,0.00,30.00,330.00
4,15-2315,CO,Open,High School,3,02:23:56,,300,0.00,30.00,330.00
5,15-2593,AL,Open,High School,3,02:57:59,,300,0.00,30.00,330.00
6,15-1889,CA,Open,High School,3,02:58:01,,300,0.00,30.00,330.00
7,15-1884,CA,Open,High School,3,03:48:56,,300,0.00,30.00,330.00
8,15-1760,MD,Open,High School,3,03:58:59,,300,0.00,30.00,330.00
9,15-1248,CAN,Open,High School,3,03:59:59,,300,0.00,30.00,330.00
10,15-1808,CA,Open,High School,3,04:39:57,,300,0.00,30.00,330.00
11,15-1807,CA,Open,High School,3,04:54:56,,300,0.00,30.00,330.00
12,15-1424,MO,Open,High School,3,05:41:59,,300,0.00,30.00,330.00
13,15-1322,IN,Open,High School,3,04:03:56,M,300,0.00,29.71,329.71
14,15-1432,MO,Open,High School,3,04:24:56,,300,0.00,29.71,329.71
15,15-1888,CA,Open,High School,3,01:14:58,,300,0.00,29.43,329.43
16,15-1883,CA,Open,High School,3,01:23:58,,300,0.00,29.00,329.00
17,15-0858,VA,Open,High School,3,01:36:55,,300,0.00,28.86,328.86
18,15-0501,CA,Open,High School,3,02:15:56,,300,0.00,28.86,328.86
19,15-1766,OR,Open,High School,3,02:28:00,,300,0.00,28.86,328.86
20,15-0505,CA,Open,High School,3,02:40:55,,300,0.00,28.86,328.86
21,15-1763,MD,Open,High School,3,05:49:00,,300,0.00,28.86,328.86
22,15-1893,CA,Open,High School,3,03:23:57,,300,0.00,28.71,328.71
23,15-3117,CA,All Service,High School,3,04:19:56,,300,0.00,28.71,328.71
24,15-1895,CA,Open,High School,3,04:15:00,,300,0.00,28.57,328.57
25,15-0041,NC,All Service,High School,3,05:26:00,,300,0.00,28.57,328.57
26,15-1224,CAN,Open,High School,3,02:02:32,,300,0.00,28.43,328.43
27,15-4893,IL,Open,High School,3,02:17:56,,300,0.00,28.43,328.43
28,15-2026,CA,Open,High School,3,05:07:02,,300,0.00,28.43,328.43
29,15-2071,CA,Open,High School,3,02:39:56,,300,0.00,28.38,328.38
30,15-4194,CA,All Service,High School,3,01:14:56,,300,0.00,28.29,328.29
31,15-3798,CAN,Open,High School,3,04:47:01,,300,0.00,28.29,328.29
32,15-3304,CA,Open,High School,3,02:53:01,,300,0.00,28.14,328.14
33,15-1762,MD,Open,High School,3,03:34:59,,300,0.00,28.14,328.14
34,15-0507,CA,Open,High School,3,03:16:58,,300,0.00,28.00,328.00
35,15-3126,GA,Open,High School,3,580:40:00,T,300,0.00,28.00,328.00
36,15-1430,MO,Open,High School,3,04:49:40,,300,0.00,27.81,327.81
37,15-0062,OK,Open,High School,3,03:11:56,,300,0.00,27.71,327.71
38,15-1881,MD,Open,High School,3,03:50:12,,300,0.00,27.43,327.43
39,15-0070,GA,Open,High School,3,03:39:58,,300,0.00,27.29,327.29
40,15-1953,NV,Open,High School,3,04:49:56,,300,0.00,27.29,327.29
41,15-1249,CAN,Open,High School,3,05:25:55,,300,0.00,27.29,327.29
42,15-1555,CAN,Open,High School,3,03:36:00,,300,0.00,27.14,327.14
43,15-1145,CA,Open,High School,3,02:43:56,,300,0.00,27.00,327.00
44,15-4367,CA,Open,High School,3,05:43:02,,300,0.00,27.00,327.00
45,15-0504,CA,Open,High School,3,02:20:09,,300,0.00,26.86,326.86
46,15-3736,TX,All Service,High School,3,02:23:56,,300,0.00,26.71,326.71
47,15-3812,CA,Open,High School,3,05:05:59,,300,0.00,26.71,326.71
